,pop,ZCTA5CE10
"ZCTA5 60626: Summary level: unknown, state:17> zip code tabulation area:60626",50544,60626
"ZCTA5 60630: Summary level: unknown, state:17> zip code tabulation area:60630",56433,60630
"ZCTA5 60632: Summary level: unknown, state:17> zip code tabulation area:60632",89857,60632
"ZCTA5 60645: Summary level: unknown, state:17> zip code tabulation area:60645",47270,60645
"ZCTA5 60653: Summary level: unknown, state:17> zip code tabulation area:60653",33154,60653
"ZCTA5 60506: Summary level: unknown, state:17> zip code tabulation area:60506",55542,60506
"ZCTA5 60511: Summary level: unknown, state:17> zip code tabulation area:60511",1805,60511
"ZCTA5 60519: Summary level: unknown, state:17> zip code tabulation area:60519",24,60519
"ZCTA5 60520: Summary level: unknown, state:17> zip code tabulation area:60520",2855,60520
"ZCTA5 60521: Summary level: unknown, state:17> zip code tabulation area:60521",18415,60521
"ZCTA5 60525: Summary level: unknown, state:17> zip code tabulation area:60525",30474,60525
"ZCTA5 60536: Summary level: unknown, state:17> zip code tabulation area:60536",139,60536
"ZCTA5 60541: Summary level: unknown, state:17> zip code tabulation area:60541",3667,60541
"ZCTA5 60543: Summary level: unknown, state:17> zip code tabulation area:60543",40293,60543
"ZCTA5 60550: Summary level: unknown, state:17> zip code tabulation area:60550",1553,60550
"ZCTA5 60559: Summary level: unknown, state:17> zip code tabulation area:60559",24384,60559
"ZCTA5 60654: Summary level: unknown, state:17> zip code tabulation area:60654",20022,60654
"ZCTA5 60657: Summary level: unknown, state:17> zip code tabulation area:60657",70958,60657
"ZCTA5 60659: Summary level: unknown, state:17> zip code tabulation area:60659",42735,60659
"ZCTA5 60707: Summary level: unknown, state:17> zip code tabulation area:60707",43093,60707
"ZCTA5 60714: Summary level: unknown, state:17> zip code tabulation area:60714",29520,60714
"ZCTA5 60804: Summary level: unknown, state:17> zip code tabulation area:60804",82383,60804
"ZCTA5 60946: Summary level: unknown, state:17> zip code tabulation area:60946",404,60946
"ZCTA5 60952: Summary level: unknown, state:17> zip code tabulation area:60952",657,60952
"ZCTA5 60955: Summary level: unknown, state:17> zip code tabulation area:60955",1655,60955
"ZCTA5 60962: Summary level: unknown, state:17> zip code tabulation area:60962",539,60962
"ZCTA5 60929: Summary level: unknown, state:17> zip code tabulation area:60929",707,60929
"ZCTA5 60056: Summary level: unknown, state:17> zip code tabulation area:60056",54524,60056
"ZCTA5 60193: Summary level: unknown, state:17> zip code tabulation area:60193",39646,60193
"ZCTA5 60464: Summary level: unknown, state:17> zip code tabulation area:60464",9662,60464
"ZCTA5 60030: Summary level: unknown, state:17> zip code tabulation area:60030",36125,60030
"ZCTA5 60107: Summary level: unknown, state:17> zip code tabulation area:60107",39894,60107
"ZCTA5 60143: Summary level: unknown, state:17> zip code tabulation area:60143",11222,60143
"ZCTA5 61749: Summary level: unknown, state:17> zip code tabulation area:61749",535,61749
"ZCTA5 61752: Summary level: unknown, state:17> zip code tabulation area:61752",4346,61752
"ZCTA5 61761: Summary level: unknown, state:17> zip code tabulation area:61761",55152,61761
"ZCTA5 61764: Summary level: unknown, state:17> zip code tabulation area:61764",13732,61764
"ZCTA5 61770: Summary level: unknown, state:17> zip code tabulation area:61770",1046,61770
"ZCTA5 61802: Summary level: unknown, state:17> zip code tabulation area:61802",19509,61802
"ZCTA5 61811: Summary level: unknown, state:17> zip code tabulation area:61811",709,61811
"ZCTA5 61841: Summary level: unknown, state:17> zip code tabulation area:61841",1278,61841
"ZCTA5 61842: Summary level: unknown, state:17> zip code tabulation area:61842",2765,61842
"ZCTA5 61847: Summary level: unknown, state:17> zip code tabulation area:61847",1365,61847
"ZCTA5 61876: Summary level: unknown, state:17> zip code tabulation area:61876",636,61876
"ZCTA5 61911: Summary level: unknown, state:17> zip code tabulation area:61911",5330,61911
"ZCTA5 61920: Summary level: unknown, state:17> zip code tabulation area:61920",23839,61920
"ZCTA5 61937: Summary level: unknown, state:17> zip code tabulation area:61937",1967,61937
"ZCTA5 61953: Summary level: unknown, state:17> zip code tabulation area:61953",6019,61953
"ZCTA5 61606: Summary level: unknown, state:17> zip code tabulation area:61606",7919,61606
"ZCTA5 61615: Summary level: unknown, state:17> zip code tabulation area:61615",23219,61615
"ZCTA5 62338: Summary level: unknown, state:17> zip code tabulation area:62338",1401,62338
"ZCTA5 62341: Summary level: unknown, state:17> zip code tabulation area:62341",3425,62341
"ZCTA5 62345: Summary level: unknown, state:17> zip code tabulation area:62345",382,62345
"ZCTA5 62351: Summary level: unknown, state:17> zip code tabulation area:62351",1708,62351
"ZCTA5 62352: Summary level: unknown, state:17> zip code tabulation area:62352",289,62352
"ZCTA5 62353: Summary level: unknown, state:17> zip code tabulation area:62353",5224,62353
"ZCTA5 62358: Summary level: unknown, state:17> zip code tabulation area:62358",779,62358
"ZCTA5 62990: Summary level: unknown, state:17> zip code tabulation area:62990",1036,62990
"ZCTA5 62976: Summary level: unknown, state:17> zip code tabulation area:62976",402,62976
"ZCTA5 62977: Summary level: unknown, state:17> zip code tabulation area:62977",754,62977
"ZCTA5 62982: Summary level: unknown, state:17> zip code tabulation area:62982",877,62982
"ZCTA5 62992: Summary level: unknown, state:17> zip code tabulation area:62992",751,62992
"ZCTA5 62995: Summary level: unknown, state:17> zip code tabulation area:62995",6034,62995
"ZCTA5 62441: Summary level: unknown, state:17> zip code tabulation area:62441",6707,62441
"ZCTA5 62447: Summary level: unknown, state:17> zip code tabulation area:62447",3366,62447
"ZCTA5 62462: Summary level: unknown, state:17> zip code tabulation area:62462",942,62462
"ZCTA5 62466: Summary level: unknown, state:17> zip code tabulation area:62466",4605,62466
"ZCTA5 62475: Summary level: unknown, state:17> zip code tabulation area:62475",503,62475
"ZCTA5 62513: Summary level: unknown, state:17> zip code tabulation area:62513",1724,62513
"ZCTA5 62514: Summary level: unknown, state:17> zip code tabulation area:62514",305,62514
"ZCTA5 62517: Summary level: unknown, state:17> zip code tabulation area:62517",214,62517
"ZCTA5 62518: Summary level: unknown, state:17> zip code tabulation area:62518",159,62518
"ZCTA5 62535: Summary level: unknown, state:17> zip code tabulation area:62535",3011,62535
"ZCTA5 62544: Summary level: unknown, state:17> zip code tabulation area:62544",1677,62544
"ZCTA5 62547: Summary level: unknown, state:17> zip code tabulation area:62547",992,62547
"ZCTA5 62550: Summary level: unknown, state:17> zip code tabulation area:62550",2790,62550
"ZCTA5 62001: Summary level: unknown, state:17> zip code tabulation area:62001",1669,62001
"ZCTA5 62006: Summary level: unknown, state:17> zip code tabulation area:62006",442,62006
"ZCTA5 62013: Summary level: unknown, state:17> zip code tabulation area:62013",619,62013
"ZCTA5 62019: Summary level: unknown, state:17> zip code tabulation area:62019",298,62019
"ZCTA5 62023: Summary level: unknown, state:17> zip code tabulation area:62023",124,62023
"ZCTA5 62024: Summary level: unknown, state:17> zip code tabulation area:62024",9799,62024
"ZCTA5 62033: Summary level: unknown, state:17> zip code tabulation area:62033",4539,62033
"ZCTA5 62037: Summary level: unknown, state:17> zip code tabulation area:62037",1990,62037
"ZCTA5 62044: Summary level: unknown, state:17> zip code tabulation area:62044",2262,62044
"ZCTA5 62339: Summary level: unknown, state:17> zip code tabulation area:62339",829,62339
"ZCTA5 62223: Summary level: unknown, state:17> zip code tabulation area:62223",16004,62223
"ZCTA5 62225: Summary level: unknown, state:17> zip code tabulation area:62225",5209,62225
"ZCTA5 62239: Summary level: unknown, state:17> zip code tabulation area:62239",4595,62239
"ZCTA5 62243: Summary level: unknown, state:17> zip code tabulation area:62243",5757,62243
"ZCTA5 62216: Summary level: unknown, state:17> zip code tabulation area:62216",2736,62216
"ZCTA5 62220: Summary level: unknown, state:17> zip code tabulation area:62220",17722,62220
"ZCTA5 62230: Summary level: unknown, state:17> zip code tabulation area:62230",6308,62230
"ZCTA5 62237: Summary level: unknown, state:17> zip code tabulation area:62237",2398,62237
"ZCTA5 62255: Summary level: unknown, state:17> zip code tabulation area:62255",1332,62255
"ZCTA5 62258: Summary level: unknown, state:17> zip code tabulation area:62258",9491,62258
"ZCTA5 62292: Summary level: unknown, state:17> zip code tabulation area:62292",895,62292
"ZCTA5 62320: Summary level: unknown, state:17> zip code tabulation area:62320",2494,62320
"ZCTA5 62334: Summary level: unknown, state:17> zip code tabulation area:62334",167,62334
"ZCTA5 62257: Summary level: unknown, state:17> zip code tabulation area:62257",2416,62257
"ZCTA5 62261: Summary level: unknown, state:17> zip code tabulation area:62261",52,62261
"ZCTA5 62269: Summary level: unknown, state:17> zip code tabulation area:62269",31567,62269
"ZCTA5 62272: Summary level: unknown, state:17> zip code tabulation area:62272",1859,62272
"ZCTA5 62273: Summary level: unknown, state:17> zip code tabulation area:62273",147,62273
"ZCTA5 62275: Summary level: unknown, state:17> zip code tabulation area:62275",3824,62275
"ZCTA5 62277: Summary level: unknown, state:17> zip code tabulation area:62277",1197,62277
"ZCTA5 62324: Summary level: unknown, state:17> zip code tabulation area:62324",1112,62324
"ZCTA5 62326: Summary level: unknown, state:17> zip code tabulation area:62326",2510,62326
"ZCTA5 60491: Summary level: unknown, state:17> zip code tabulation area:60491",22735,60491
"ZCTA5 60502: Summary level: unknown, state:17> zip code tabulation area:60502",21911,60502
"ZCTA5 60503: Summary level: unknown, state:17> zip code tabulation area:60503",17207,60503
"ZCTA5 60527: Summary level: unknown, state:17> zip code tabulation area:60527",28534,60527
"ZCTA5 60585: Summary level: unknown, state:17> zip code tabulation area:60585",23875,60585
"ZCTA5 60586: Summary level: unknown, state:17> zip code tabulation area:60586",47495,60586
"ZCTA5 60642: Summary level: unknown, state:17> zip code tabulation area:60642",19716,60642
"ZCTA5 60958: Summary level: unknown, state:17> zip code tabulation area:60958",1709,60958
"ZCTA5 60656: Summary level: unknown, state:17> zip code tabulation area:60656",28218,60656
"ZCTA5 60920: Summary level: unknown, state:17> zip code tabulation area:60920",169,60920
"ZCTA5 60096: Summary level: unknown, state:17> zip code tabulation area:60096",6733,60096
"ZCTA5 60141: Summary level: unknown, state:17> zip code tabulation area:60141",302,60141
"ZCTA5 60416: Summary level: unknown, state:17> zip code tabulation area:60416",9083,60416
"ZCTA5 60546: Summary level: unknown, state:17> zip code tabulation area:60546",15405,60546
"ZCTA5 60628: Summary level: unknown, state:17> zip code tabulation area:60628",64254,60628
"ZCTA5 60480: Summary level: unknown, state:17> zip code tabulation area:60480",5151,60480
"ZCTA5 60554: Summary level: unknown, state:17> zip code tabulation area:60554",12194,60554
"ZCTA5 60641: Summary level: unknown, state:17> zip code tabulation area:60641",69880,60641
"ZCTA5 60942: Summary level: unknown, state:17> zip code tabulation area:60942",5898,60942
"ZCTA5 60450: Summary level: unknown, state:17> zip code tabulation area:60450",20906,60450
"ZCTA5 61378: Summary level: unknown, state:17> zip code tabulation area:61378",325,61378
"ZCTA5 61410: Summary level: unknown, state:17> zip code tabulation area:61410",3921,61410
"ZCTA5 61420: Summary level: unknown, state:17> zip code tabulation area:61420",1172,61420
"ZCTA5 61432: Summary level: unknown, state:17> zip code tabulation area:61432",675,61432
"ZCTA5 61440: Summary level: unknown, state:17> zip code tabulation area:61440",695,61440
"ZCTA5 61441: Summary level: unknown, state:17> zip code tabulation area:61441",955,61441
"ZCTA5 61376: Summary level: unknown, state:17> zip code tabulation area:61376",2018,61376
"ZCTA5 61340: Summary level: unknown, state:17> zip code tabulation area:61340",263,61340
"ZCTA5 61358: Summary level: unknown, state:17> zip code tabulation area:61358",293,61358
"ZCTA5 61372: Summary level: unknown, state:17> zip code tabulation area:61372",151,61372
"ZCTA5 61379: Summary level: unknown, state:17> zip code tabulation area:61379",1291,61379
"ZCTA5 61353: Summary level: unknown, state:17> zip code tabulation area:61353",1191,61353
"ZCTA5 61362: Summary level: unknown, state:17> zip code tabulation area:61362",5550,61362
"ZCTA5 61374: Summary level: unknown, state:17> zip code tabulation area:61374",83,61374
"ZCTA5 61411: Summary level: unknown, state:17> zip code tabulation area:61411",397,61411
"ZCTA5 61414: Summary level: unknown, state:17> zip code tabulation area:61414",958,61414
"ZCTA5 61415: Summary level: unknown, state:17> zip code tabulation area:61415",1954,61415
"ZCTA5 60803: Summary level: unknown, state:17> zip code tabulation area:60803",22405,60803
"ZCTA5 60954: Summary level: unknown, state:17> zip code tabulation area:60954",5820,60954
"ZCTA5 60963: Summary level: unknown, state:17> zip code tabulation area:60963",1715,60963
"ZCTA5 60187: Summary level: unknown, state:17> zip code tabulation area:60187",29976,60187
"ZCTA5 60164: Summary level: unknown, state:17> zip code tabulation area:60164",21228,60164
"ZCTA5 60173: Summary level: unknown, state:17> zip code tabulation area:60173",12610,60173
"ZCTA5 60073: Summary level: unknown, state:17> zip code tabulation area:60073",61592,60073
"ZCTA5 60077: Summary level: unknown, state:17> zip code tabulation area:60077",27626,60077
"ZCTA5 60089: Summary level: unknown, state:17> zip code tabulation area:60089",41014,60089
"ZCTA5 60110: Summary level: unknown, state:17> zip code tabulation area:60110",38984,60110
"ZCTA5 60115: Summary level: unknown, state:17> zip code tabulation area:60115",45268,60115
"ZCTA5 60118: Summary level: unknown, state:17> zip code tabulation area:60118",16050,60118
"ZCTA5 60010: Summary level: unknown, state:17> zip code tabulation area:60010",46455,60010
"ZCTA5 60016: Summary level: unknown, state:17> zip code tabulation area:60016",59291,60016
"ZCTA5 60022: Summary level: unknown, state:17> zip code tabulation area:60022",8471,60022
"ZCTA5 60035: Summary level: unknown, state:17> zip code tabulation area:60035",29636,60035
"ZCTA5 60072: Summary level: unknown, state:17> zip code tabulation area:60072",1051,60072
"ZCTA5 60081: Summary level: unknown, state:17> zip code tabulation area:60081",9379,60081
"ZCTA5 60099: Summary level: unknown, state:17> zip code tabulation area:60099",30145,60099
"ZCTA5 60102: Summary level: unknown, state:17> zip code tabulation area:60102",32663,60102
"ZCTA5 60106: Summary level: unknown, state:17> zip code tabulation area:60106",20341,60106
"ZCTA5 60129: Summary level: unknown, state:17> zip code tabulation area:60129",286,60129
"ZCTA5 60135: Summary level: unknown, state:17> zip code tabulation area:60135",7058,60135
"ZCTA5 60146: Summary level: unknown, state:17> zip code tabulation area:60146",2390,60146
"ZCTA5 60151: Summary level: unknown, state:17> zip code tabulation area:60151",4075,60151
"ZCTA5 60154: Summary level: unknown, state:17> zip code tabulation area:60154",16440,60154
"ZCTA5 60901: Summary level: unknown, state:17> zip code tabulation area:60901",35407,60901
"ZCTA5 60917: Summary level: unknown, state:17> zip code tabulation area:60917",538,60917
"ZCTA5 60921: Summary level: unknown, state:17> zip code tabulation area:60921",1512,60921
"ZCTA5 60002: Summary level: unknown, state:17> zip code tabulation area:60002",24058,60002
"ZCTA5 60014: Summary level: unknown, state:17> zip code tabulation area:60014",48063,60014
"ZCTA5 60029: Summary level: unknown, state:17> zip code tabulation area:60029",476,60029
"ZCTA5 60050: Summary level: unknown, state:17> zip code tabulation area:60050",32565,60050
"ZCTA5 60060: Summary level: unknown, state:17> zip code tabulation area:60060",37544,60060
"ZCTA5 60131: Summary level: unknown, state:17> zip code tabulation area:60131",17834,60131
"ZCTA5 60148: Summary level: unknown, state:17> zip code tabulation area:60148",52588,60148
"ZCTA5 60165: Summary level: unknown, state:17> zip code tabulation area:60165",4894,60165
"ZCTA5 60192: Summary level: unknown, state:17> zip code tabulation area:60192",15467,60192
"ZCTA5 60202: Summary level: unknown, state:17> zip code tabulation area:60202",32703,60202
"ZCTA5 60411: Summary level: unknown, state:17> zip code tabulation area:60411",57603,60411
"ZCTA5 60490: Summary level: unknown, state:17> zip code tabulation area:60490",22158,60490
"ZCTA5 60514: Summary level: unknown, state:17> zip code tabulation area:60514",9943,60514
"ZCTA5 60537: Summary level: unknown, state:17> zip code tabulation area:60537",573,60537
"ZCTA5 60540: Summary level: unknown, state:17> zip code tabulation area:60540",45187,60540
"ZCTA5 60601: Summary level: unknown, state:17> zip code tabulation area:60601",15083,60601
"ZCTA5 60608: Summary level: unknown, state:17> zip code tabulation area:60608",80059,60608
"ZCTA5 60441: Summary level: unknown, state:17> zip code tabulation area:60441",35583,60441
"ZCTA5 60409: Summary level: unknown, state:17> zip code tabulation area:60409",36658,60409
"ZCTA5 60417: Summary level: unknown, state:17> zip code tabulation area:60417",15073,60417
"ZCTA5 60426: Summary level: unknown, state:17> zip code tabulation area:60426",28683,60426
"ZCTA5 60446: Summary level: unknown, state:17> zip code tabulation area:60446",40118,60446
"ZCTA5 60447: Summary level: unknown, state:17> zip code tabulation area:60447",13856,60447
"ZCTA5 60449: Summary level: unknown, state:17> zip code tabulation area:60449",9362,60449
"ZCTA5 60452: Summary level: unknown, state:17> zip code tabulation area:60452",28008,60452
"ZCTA5 60453: Summary level: unknown, state:17> zip code tabulation area:60453",55966,60453
"ZCTA5 60620: Summary level: unknown, state:17> zip code tabulation area:60620",67711,60620
"ZCTA5 60634: Summary level: unknown, state:17> zip code tabulation area:60634",75082,60634
"ZCTA5 60637: Summary level: unknown, state:17> zip code tabulation area:60637",47300,60637
"ZCTA5 60644: Summary level: unknown, state:17> zip code tabulation area:60644",46591,60644
"ZCTA5 60910: Summary level: unknown, state:17> zip code tabulation area:60910",575,60910
"ZCTA5 60911: Summary level: unknown, state:17> zip code tabulation area:60911",1311,60911
"ZCTA5 60913: Summary level: unknown, state:17> zip code tabulation area:60913",1413,60913
"ZCTA5 60928: Summary level: unknown, state:17> zip code tabulation area:60928",675,60928
"ZCTA5 60961: Summary level: unknown, state:17> zip code tabulation area:60961",786,60961
"ZCTA5 60605: Summary level: unknown, state:17> zip code tabulation area:60605",29060,60605
"ZCTA5 60606: Summary level: unknown, state:17> zip code tabulation area:60606",3287,60606
"ZCTA5 60623: Summary level: unknown, state:17> zip code tabulation area:60623",81283,60623
"ZCTA5 60629: Summary level: unknown, state:17> zip code tabulation area:60629",110029,60629
"ZCTA5 60633: Summary level: unknown, state:17> zip code tabulation area:60633",12689,60633
"ZCTA5 60638: Summary level: unknown, state:17> zip code tabulation area:60638",58669,60638
"ZCTA5 60640: Summary level: unknown, state:17> zip code tabulation area:60640",69363,60640
"ZCTA5 60649: Summary level: unknown, state:17> zip code tabulation area:60649",46633,60649
"ZCTA5 60655: Summary level: unknown, state:17> zip code tabulation area:60655",28569,60655
"ZCTA5 60661: Summary level: unknown, state:17> zip code tabulation area:60661",10354,60661
"ZCTA5 60827: Summary level: unknown, state:17> zip code tabulation area:60827",28483,60827
"ZCTA5 60919: Summary level: unknown, state:17> zip code tabulation area:60919",482,60919
"ZCTA5 60927: Summary level: unknown, state:17> zip code tabulation area:60927",2053,60927
"ZCTA5 60940: Summary level: unknown, state:17> zip code tabulation area:60940",3170,60940
"ZCTA5 60631: Summary level: unknown, state:17> zip code tabulation area:60631",29529,60631
"ZCTA5 60005: Summary level: unknown, state:17> zip code tabulation area:60005",30079,60005
"ZCTA5 60015: Summary level: unknown, state:17> zip code tabulation area:60015",27529,60015
"ZCTA5 60018: Summary level: unknown, state:17> zip code tabulation area:60018",30037,60018
"ZCTA5 60044: Summary level: unknown, state:17> zip code tabulation area:60044",9990,60044
"ZCTA5 60068: Summary level: unknown, state:17> zip code tabulation area:60068",37433,60068
"ZCTA5 60415: Summary level: unknown, state:17> zip code tabulation area:60415",14123,60415
"ZCTA5 60439: Summary level: unknown, state:17> zip code tabulation area:60439",23435,60439
"ZCTA5 60455: Summary level: unknown, state:17> zip code tabulation area:60455",16144,60455
"ZCTA5 60474: Summary level: unknown, state:17> zip code tabulation area:60474",824,60474
"ZCTA5 60475: Summary level: unknown, state:17> zip code tabulation area:60475",9664,60475
"ZCTA5 60505: Summary level: unknown, state:17> zip code tabulation area:60505",74726,60505
"ZCTA5 60458: Summary level: unknown, state:17> zip code tabulation area:60458",15197,60458
"ZCTA5 60435: Summary level: unknown, state:17> zip code tabulation area:60435",49390,60435
"ZCTA5 60459: Summary level: unknown, state:17> zip code tabulation area:60459",28709,60459
