,OverFifty,TotalPop,TRACTCE
"Census Tract 8463.14, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846314",1385,3262,846314
"Census Tract 8463.15, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846315",1773,4114,846315
"Census Tract 8268, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826800",1464,5207,826800
"Census Tract 8269.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826902",608,1506,826902
"Census Tract 5102, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:510200",1220,3321,510200
"Census Tract 5705, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:570500",504,2290,570500
"Census Tract 6006, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:600600",1012,3125,600600
"Census Tract 6112, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:611200",630,2496,611200
"Census Tract 6408, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:640800",460,1805,640800
"Census Tract 6709, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:670900",463,1457,670900
"Census Tract 6913, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:691300",1139,2707,691300
"Census Tract 4307, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430700",816,2474,430700
"Census Tract 4904, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:490400",309,773,490400
"Census Tract 8241.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824106",3057,7020,824106
"Census Tract 8068.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:806802",1293,3059,806802
"Census Tract 8094, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:809400",1939,5358,809400
"Census Tract 6103, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:610300",1278,5941,610300
"Census Tract 6118, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:611800",659,2390,611800
"Census Tract 6812, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:681200",538,2511,681200
"Census Tract 7110, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:711000",1573,3012,711000
"Census Tract 8006, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:800600",907,2405,800600
"Census Tract 8043.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804305",2125,7060,804305
"Census Tract 8099, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:809900",995,2902,809900
"Census Tract 8117.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:811702",1393,4749,811702
"Census Tract 8160, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:816000",1039,3183,816000
"Census Tract 8194, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:819400",1563,5372,819400
"Census Tract 2109, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:210900",605,3095,210900
"Census Tract 2602, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:260200",223,1067,260200
"Census Tract 8155, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:815500",2025,8292,815500
"Census Tract 8180, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:818000",1785,4116,818000
"Census Tract 8229, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822900",722,2141,822900
"Census Tract 8239.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823904",2098,4031,823904
"Census Tract 8264.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826402",1709,5062,826402
"Census Tract 8294.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:829401",369,1306,829401
"Census Tract 8424, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:842400",1340,5133,842400
"Census Tract 8428, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:842800",1675,4727,842800
"Census Tract 8444.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:844401",1657,3201,844401
"Census Tract 8400, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840000",876,2920,840000
"Census Tract 8401.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840101",2000,5834,840101
"Census Tract 8457.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845702",2044,4527,845702
"Census Tract 8461.03, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846103",1730,5716,846103
"Census Tract 8462.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846201",1929,6039,846201
"Census Tract 8462.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846202",1911,6725,846202
"Census Tract 2411, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:241100",417,3826,241100
"Census Tract 2420, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:242000",850,5254,242000
"Census Tract 2421, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:242100",281,3878,242100
"Census Tract 2506, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:250600",1638,4120,250600
"Census Tract 2511, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:251100",1441,4416,251100
"Census Tract 309, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030900",1039,3061,030900
"Census Tract 319, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:031900",630,2566,031900
"Census Tract 502, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:050200",1437,5431,050200
"Census Tract 8021, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802100",1357,3431,802100
"Census Tract 8028.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:802801",2025,4746,802801
"Census Tract 8031, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803100",1235,3378,803100
"Census Tract 8036.07, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803607",2026,5118,803607
"Census Tract 8046.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804606",3134,7151,804606
"Census Tract 8047.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804705",1442,4406,804705
"Census Tract 8047.10, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804710",1657,3762,804710
"Census Tract 8047.11, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804711",1969,8128,804711
"Census Tract 8051.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805106",1316,3000,805106
"Census Tract 8051.09, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805109",2085,4182,805109
"Census Tract 8050.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805002",2267,6562,805002
"Census Tract 8048.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804803",2001,5837,804803
"Census Tract 8048.08, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804808",1018,2698,804808
"Census Tract 8049.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804902",2199,5250,804902
"Census Tract 8051.12, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805112",1576,3185,805112
"Census Tract 8055.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805502",1773,3998,805502
"Census Tract 8058.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805801",1134,2541,805801
"Census Tract 8067, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:806700",1813,3937,806700
"Census Tract 8078, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807800",1047,2678,807800
"Census Tract 8090, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:809000",1760,4153,809000
"Census Tract 8091, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:809100",1365,3293,809100
"Census Tract 8103.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:810302",1301,3162,810302
"Census Tract 8105.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:810502",2403,5468,810502
"Census Tract 8107.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:810701",1651,5136,810701
"Census Tract 8108, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:810800",1961,5102,810800
"Census Tract 8114.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:811402",1384,4327,811402
"Census Tract 8115, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:811500",2229,6452,811500
"Census Tract 8119, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:811900",2253,5895,811900
"Census Tract 1910, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:191000",715,2651,191000
"Census Tract 8056, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805600",1765,4457,805600
"Census Tract 8060.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:806004",3152,7226,806004
"Census Tract 8072, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807200",2376,5224,807200
"Census Tract 8075, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807500",1440,3390,807500
"Census Tract 8518.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:851801",2515,7298,851801
"Census Tract 8523, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852300",816,2059,852300
"Census Tract 8524.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852401",3523,8531,852401
"Census Tract 8526.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852601",3424,7631,852601
"Census Tract 8533, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853300",1197,5066,853300
"Census Tract 8285.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:828505",3198,6522,828505
"Census Tract 8287.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:828701",1254,4155,828701
"Census Tract 8290, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:829000",361,1360,829000
"Census Tract 8294.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:829402",1237,3322,829402
"Census Tract 206, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020600",640,2350,020600
"Census Tract 217, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021700",1162,4267,021700
"Census Tract 220, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:022000",1537,4010,022000
"Census Tract 223, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:022300",591,2560,022300
"Census Tract 228, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:022800",1120,5447,022800
"Census Tract 237, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:023700",775,2507,023700
"Census Tract 202, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020200",1283,3479,020200
"Census Tract 241.02, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:024102",2235,5289,024102
"Census Tract 207, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020700",430,1616,020700
"Census Tract 221, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:022100",1216,2504,022100
"Census Tract 243, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:024300",1282,2452,024300
"Census Tract 218, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021800",2140,4826,021800
"Census Tract 242, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:024200",1679,4303,024200
"Census Tract 216, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021600",744,2188,021600
"Census Tract 203, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020300",2388,6555,020300
"Census Tract 5004, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:500400",715,1512,500400
"Census Tract 5011, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501100",818,1517,501100
"Census Tract 5017, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501700",889,2688,501700
"Census Tract 5026.02, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502602",1959,5538,502602
"Census Tract 5031, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503100",2682,7321,503100
"Census Tract 5032.02, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503202",2745,5907,503202
"Census Tract 5032.03, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503203",2639,6496,503203
"Census Tract 5033.01, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503301",1456,3625,503301
"Census Tract 5034.12, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503412",2019,5463,503412
"Census Tract 5043.02, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:504302",3119,7612,504302
"Census Tract 5015.02, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501502",1027,2788,501502
"Census Tract 5018, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501800",1978,5225,501800
"Census Tract 5021, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502100",578,2402,502100
"Census Tract 5024.01, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502401",581,1740,502401
"Census Tract 5026.03, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502603",974,3292,502603
"Census Tract 5033.04, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503304",2251,6790,503304
"Census Tract 5, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:000500",1469,4005,000500
"Census Tract 6, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:000600",2116,5623,000600
"Census Tract 8036.08, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:803608",2489,7375,803608
"Census Tract 9506, Effingham County, Illinois: Summary level: 140, state:17> county:049> tract:950600",1986,5290,950600
"Census Tract 9507, Effingham County, Illinois: Summary level: 140, state:17> county:049> tract:950700",1546,3755,950700
"Census Tract 9508, Effingham County, Illinois: Summary level: 140, state:17> county:049> tract:950800",1430,4184,950800
"Census Tract 9503, Effingham County, Illinois: Summary level: 140, state:17> county:049> tract:950300",1563,4055,950300
"Census Tract 8048.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:804804",2201,6551,804804
"Census Tract 8051.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805105",1567,7228,805105
"Census Tract 8051.08, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805108",1524,6564,805108
"Census Tract 8057.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:805701",1925,5094,805701
"Census Tract 8464.08, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846408",949,4057,846408
"Census Tract 8464.09, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846409",1379,4949,846409
"Census Tract 8464.10, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846410",1088,5288,846410
"Census Tract 8464.11, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846411",836,4234,846411
"Census Tract 8464.12, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846412",1517,4687,846412
"Census Tract 8464.13, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846413",1374,3743,846413
"Census Tract 8465.07, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846507",491,2343,846507
"Census Tract 9532, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953200",1238,2721,953200
"Census Tract 9533, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953300",1547,3295,953300
"Census Tract 9537, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953700",1098,2592,953700
"Census Tract 9534, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953400",710,1859,953400
"Census Tract 9539, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:953900",1102,2613,953900
"Census Tract 9529, Fulton County, Illinois: Summary level: 140, state:17> county:057> tract:952900",1362,3040,952900
"Census Tract 9738, Greene County, Illinois: Summary level: 140, state:17> county:061> tract:973800",1034,2212,973800
"Census Tract 9736, Greene County, Illinois: Summary level: 140, state:17> county:061> tract:973600",1312,3391,973600
"Census Tract 9737, Greene County, Illinois: Summary level: 140, state:17> county:061> tract:973700",635,1802,973700
"Census Tract 9739, Greene County, Illinois: Summary level: 140, state:17> county:061> tract:973900",1200,2349,973900
"Census Tract 9740, Greene County, Illinois: Summary level: 140, state:17> county:061> tract:974000",1275,3464,974000
"Census Tract 305, Perry County, Illinois: Summary level: 140, state:17> county:145> tract:030500",1069,2350,030500
"Census Tract 304, Perry County, Illinois: Summary level: 140, state:17> county:145> tract:030400",840,2545,030400
"Census Tract 9530, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953000",1043,2437,953000
"Census Tract 9535, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953500",1579,5364,953500
"Census Tract 9531, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953100",1337,3863,953100
"Census Tract 9534, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953400",1721,3673,953400
"Census Tract 9532, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953200",1470,3855,953200
"Census Tract 9529, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:952900",1346,3854,952900
"Census Tract 9536, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953600",1250,3157,953600
"Census Tract 9533, Logan County, Illinois: Summary level: 140, state:17> county:107> tract:953300",1346,3004,953300
"Census Tract 9562, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956200",1105,2456,956200
"Census Tract 9565, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956500",1211,2465,956500
"Census Tract 9566, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956600",2010,4721,956600
"Census Tract 9563, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956300",1340,3162,956300
"Census Tract 9561, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956100",1283,3044,956100
"Census Tract 9568, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956800",1295,2816,956800
"Census Tract 9569, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956900",1458,3365,956900
"Census Tract 9564, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956400",1762,5217,956400
"Census Tract 9571, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:957100",1043,2674,957100
"Census Tract 9567, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956700",1840,4077,956700
"Census Tract 9560, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:956000",1216,3283,956000
"Census Tract 9570, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:957000",1566,3626,957000
"Census Tract 9572, Macoupin County, Illinois: Summary level: 140, state:17> county:117> tract:957200",1890,4813,957200
"Census Tract 9779, Richland County, Illinois: Summary level: 140, state:17> county:159> tract:977900",1499,3654,977900
"Census Tract 9781, Richland County, Illinois: Summary level: 140, state:17> county:159> tract:978100",1750,4191,978100
"Census Tract 9783, Richland County, Illinois: Summary level: 140, state:17> county:159> tract:978300",1414,3379,978300
"Census Tract 9782, Richland County, Illinois: Summary level: 140, state:17> county:159> tract:978200",957,2723,978200
"Census Tract 9780, Richland County, Illinois: Summary level: 140, state:17> county:159> tract:978000",873,1934,978000
"Census Tract 2520, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:252000",1910,5556,252000
"Census Tract 2601, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:260100",471,1154,260100
"Census Tract 2607, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:260700",531,1816,260700
"Census Tract 2713, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:271300",202,1316,271300
"Census Tract 817, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:081700",836,3831,081700
"Census Tract 1001, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:100100",1833,5563,100100
"Census Tract 1005, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:100500",2321,5696,100500
"Census Tract 1301, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:130100",2615,5228,130100
"Census Tract 1402, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:140200",1413,6429,140200
"Census Tract 1405, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:140500",1325,4264,140500
"Census Tract 1603, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:160300",1098,3764,160300
"Census Tract 1608, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:160800",1347,4909,160800
"Census Tract 8447.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:844701",1587,4378,844701
"Census Tract 8450, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845000",2141,5764,845000
"Census Tract 8451, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845100",2075,6563,845100
"Census Tract 8455.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845502",1823,5408,845502
"Census Tract 8456.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845601",1561,4206,845601
"Census Tract 8463.05, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846305",1988,5280,846305
"Census Tract 8463.07, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846307",1468,4743,846307
"Census Tract 8464.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846404",2259,6010,846404
"Census Tract 8458.03, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845803",1731,4949,845803
"Census Tract 8401.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:840104",1691,5976,840104
"Census Tract 8411.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:841102",1725,6266,841102
"Census Tract 8461.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846102",1195,4600,846102
"Census Tract 8460.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846002",2027,4657,846002
"Census Tract 8412.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:841204",2014,6032,841204
"Census Tract 8426.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:842604",2172,4320,842604
"Census Tract 8446.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:844602",2133,4463,844602
"Census Tract 37, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:003700",3672,8619,003700
"Census Tract 39.02, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:003902",1564,3921,003902
"Census Tract 28.01, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:002801",1062,2978,002801
"Census Tract 30, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:003000",1719,5960,003000
"Census Tract 6, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:000600",2110,4438,000600
"Census Tract 35, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:003500",1958,5342,003500
"Census Tract 38.02, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:003802",2229,5974,003802
"Census Tract 9, Sangamon County, Illinois: Summary level: 140, state:17> county:167> tract:000900",769,2612,000900
"Census Tract 8709.05, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870905",1537,4954,870905
"Census Tract 101, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010100",2069,7631,010100
"Census Tract 102, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010200",2085,6043,010200
"Census Tract 104, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010400",2132,6720,010400
"Census Tract 201, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020100",3168,7616,020100
"Census Tract 209, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020900",2290,5767,020900
"Census Tract 231, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:023100",1131,2445,023100
"Census Tract 241.01, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:024101",1960,3851,024101
"Census Tract 204, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020400",2133,6106,020400
"Census Tract 9502, Washington County, Illinois: Summary level: 140, state:17> county:189> tract:950200",1538,3885,950200
"Census Tract 701, Edgar County, Illinois: Summary level: 140, state:17> county:045> tract:070100",1246,2436,070100
"Census Tract 703, Edgar County, Illinois: Summary level: 140, state:17> county:045> tract:070300",1751,3789,070300
"Census Tract 9512, Bond County, Illinois: Summary level: 140, state:17> county:005> tract:951200",1462,2819,951200
"Census Tract 9514, Bond County, Illinois: Summary level: 140, state:17> county:005> tract:951400",1391,3009,951400
"Census Tract 9513, Bond County, Illinois: Summary level: 140, state:17> county:005> tract:951300",2048,6523,951300
"Census Tract 9515, Bond County, Illinois: Summary level: 140, state:17> county:005> tract:951500",1710,4361,951500
"Census Tract 8116, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:811600",2267,6240,811600
"Census Tract 8118, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:811800",1837,5471,811800
"Census Tract 8144, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:814400",1991,7973,814400
"Census Tract 8157.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:815702",1933,5210,815702
"Census Tract 8158, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:815800",753,1582,815800
"Census Tract 8161, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:816100",2455,6035,816100
"Census Tract 8163, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:816300",1430,5149,816300
"Census Tract 8170, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:817000",1812,5020,817000
"Census Tract 8185, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:818500",3082,5569,818500
"Census Tract 8187, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:818700",1135,3598,818700
"Census Tract 2001, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:200100",1310,3763,200100
"Census Tract 1609, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:160900",832,2464,160900
"Census Tract 5.06, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000506",2032,4293,000506
"Census Tract 5.13, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000513",2251,3934,000513
"Census Tract 11, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001100",736,1139,001100
"Census Tract 18, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001800",1563,5910,001800
"Census Tract 21, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002100",389,1765,002100
"Census Tract 23.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002301",789,2398,002301
"Census Tract 29, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002900",736,989,002900
"Census Tract 30, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003000",677,1699,003000
"Census Tract 33, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003300",987,3334,003300
"Census Tract 36.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003601",817,1663,003601
"Census Tract 36.05, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003605",1202,2149,003605
"Census Tract 38.09, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003809",1676,4813,003809
"Census Tract 39.04, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003904",1769,4572,003904
"Census Tract 1.03, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000103",814,2799,000103
"Census Tract 1.05, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000105",1369,3966,000105
"Census Tract 6, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000600",1524,4365,000600
"Census Tract 28, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002800",346,1461,002800
"Census Tract 8633, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863300",1058,2379,863300
"Census Tract 8621, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:862100",1224,5202,862100
"Census Tract 8626.03, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:862603",1722,7657,862603
"Census Tract 8636.03, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863603",1389,3293,863603
"Census Tract 8640.02, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864002",1356,6348,864002
"Census Tract 8641.08, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864108",1791,5635,864108
