,OverFifty,TotalPop,TRACTCE
"Census Tract 8, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:000800",1250,5853,000800
"Census Tract 224, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:022400",1877,4558,022400
"Census Tract 201, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020100",1120,2269,020100
"Census Tract 206, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020600",819,2006,020600
"Census Tract 209, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020900",624,2112,020900
"Census Tract 211.01, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021101",2272,6500,021101
"Census Tract 218.01, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021801",1484,5117,021801
"Census Tract 205, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020500",1432,4252,020500
"Census Tract 215, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021500",3205,6833,021500
"Census Tract 216.03, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021603",2178,5502,021603
"Census Tract 204, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020400",1984,5582,020400
"Census Tract 208, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020800",1146,3037,020800
"Census Tract 212.01, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021201",1629,5340,021201
"Census Tract 212.03, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021203",1840,5272,021203
"Census Tract 217.01, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021701",2026,5861,021701
"Census Tract 223, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:022300",1701,5219,022300
"Census Tract 210, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021000",2275,5393,021000
"Census Tract 211.02, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021102",2534,5811,021102
"Census Tract 219, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021900",1874,4691,021900
"Census Tract 220, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:022000",1784,4213,022000
"Census Tract 221, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:022100",1324,3813,022100
"Census Tract 203.02, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020302",1949,4804,020302
"Census Tract 207, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020700",1795,4882,020700
"Census Tract 212.02, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021202",1787,3334,021202
"Census Tract 216.05, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021605",949,2456,021605
"Census Tract 218.02, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021802",869,1941,021802
"Census Tract 222, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:022200",1668,5179,022200
"Census Tract 203.01, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:020301",1665,4363,020301
"Census Tract 217.02, Tazewell County, Illinois: Summary level: 140, state:17> county:179> tract:021702",2133,5553,021702
"Census Tract 9603, Cass County, Illinois: Summary level: 140, state:17> county:017> tract:960300",1192,2779,960300
"Census Tract 9602, Cass County, Illinois: Summary level: 140, state:17> county:017> tract:960200",993,2348,960200
"Census Tract 9604, Cass County, Illinois: Summary level: 140, state:17> county:017> tract:960400",754,2592,960400
"Census Tract 9601, Cass County, Illinois: Summary level: 140, state:17> county:017> tract:960100",953,2297,960100
"Census Tract 9605, Cass County, Illinois: Summary level: 140, state:17> county:017> tract:960500",793,2649,960500
"Census Tract 8701, Warren County, Illinois: Summary level: 140, state:17> county:187> tract:870100",912,2154,870100
"Census Tract 8702, Warren County, Illinois: Summary level: 140, state:17> county:187> tract:870200",1144,2709,870200
"Census Tract 13, Stephenson County, Illinois: Summary level: 140, state:17> county:177> tract:001300",1485,3810,001300
"Census Tract 1, Stephenson County, Illinois: Summary level: 140, state:17> county:177> tract:000100",1692,4354,000100
"Census Tract 2, Stephenson County, Illinois: Summary level: 140, state:17> county:177> tract:000200",1324,2997,000200
"Census Tract 8, Stephenson County, Illinois: Summary level: 140, state:17> county:177> tract:000800",901,3055,000800
"Census Tract 37.05, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003705",2302,4870,003705
"Census Tract 37.07, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003707",1279,3800,003707
"Census Tract 37.09, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003709",412,1604,003709
"Census Tract 38.08, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003808",1567,3328,003808
"Census Tract 39.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003901",1648,4717,003901
"Census Tract 42, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:004200",2585,6288,004200
"Census Tract 13, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001300",309,2417,001300
"Census Tract 5.11, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000511",1194,2617,000511
"Census Tract 19, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001900",1238,3670,001900
"Census Tract 23.02, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002302",526,1190,002302
"Census Tract 36.04, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003604",1236,3004,003604
"Census Tract 43, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:004300",1863,4845,004300
"Census Tract 1.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000101",1604,4990,000101
"Census Tract 5.10, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:000510",1406,3221,000510
"Census Tract 9731, Hamilton County, Illinois: Summary level: 140, state:17> county:065> tract:973100",1212,2974,973100
"Census Tract 9732, Hamilton County, Illinois: Summary level: 140, state:17> county:065> tract:973200",1178,2217,973200
"Census Tract 9709, Hardin County, Illinois: Summary level: 140, state:17> county:069> tract:970900",928,2006,970900
"Census Tract 304, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030400",1151,2626,030400
"Census Tract 308, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030800",1183,3671,030800
"Census Tract 302.02, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030202",1716,3859,030202
"Census Tract 306, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030600",1135,2611,030600
"Census Tract 303, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030300",3022,7039,030300
"Census Tract 302.03, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030203",1672,4260,030203
"Census Tract 312, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:031200",1209,2853,031200
"Census Tract 302.01, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030201",1957,4870,030201
"Census Tract 305, Henry County, Illinois: Summary level: 140, state:17> county:073> tract:030500",1110,2212,030500
"Census Tract 8175, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:817500",1298,3388,817500
"Census Tract 8177, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:817700",2156,5264,817700
"Census Tract 8179, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:817900",2638,5717,817900
"Census Tract 8214.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821401",1359,4202,821401
"Census Tract 8201.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:820104",1696,4113,820104
"Census Tract 8202.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:820201",3584,7653,820201
"Census Tract 8212, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821200",1826,6215,821200
"Census Tract 8216, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821600",1592,4428,821600
"Census Tract 8217, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:821700",1575,4691,821700
"Census Tract 8221.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822102",2067,4974,822102
"Census Tract 2226, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:222600",165,1573,222600
"Census Tract 2308, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:230800",356,1425,230800
"Census Tract 2407, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:240700",308,1752,240700
"Census Tract 2410, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:241000",376,2096,241000
"Census Tract 410, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:041000",1049,2785,041000
"Census Tract 405, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:040500",1515,3039,040500
"Census Tract 401, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:040100",1214,2915,040100
"Census Tract 403, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:040300",1072,3168,040300
"Census Tract 406, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:040600",1012,3096,040600
"Census Tract 407, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:040700",1847,4099,040700
"Census Tract 41, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:004100",2534,5183,004100
"Census Tract 35, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003500",1124,2202,003500
"Census Tract 38.06, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003806",1708,5016,003806
"Census Tract 40.01, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:004001",2716,9060,004001
"Census Tract 27, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:002700",616,3197,002700
"Census Tract 16, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001600",1534,5564,001600
"Census Tract 34, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:003400",1427,4775,003400
"Census Tract 12, Winnebago County, Illinois: Summary level: 140, state:17> county:201> tract:001200",477,2259,001200
"Census Tract 8821, Will County, Illinois: Summary level: 140, state:17> county:197> tract:882100",608,2596,882100
"Census Tract 8810.05, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881005",1640,3502,881005
"Census Tract 8819, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881900",762,3735,881900
"Census Tract 8801.06, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880106",1397,4937,880106
"Census Tract 8802.02, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880202",1494,4365,880202
"Census Tract 8812, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881200",904,4928,881200
"Census Tract 8824, Will County, Illinois: Summary level: 140, state:17> county:197> tract:882400",800,3392,882400
"Census Tract 8822, Will County, Illinois: Summary level: 140, state:17> county:197> tract:882200",876,3934,882200
"Census Tract 8823, Will County, Illinois: Summary level: 140, state:17> county:197> tract:882300",1172,3860,882300
"Census Tract 8835.05, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883505",2533,8357,883505
"Census Tract 8810.01, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881001",2079,5590,881001
"Census Tract 8804.04, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880404",3105,11816,880404
"Census Tract 8820, Will County, Illinois: Summary level: 140, state:17> county:197> tract:882000",666,3445,882000
"Census Tract 612, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:061200",251,1961,061200
"Census Tract 615, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:061500",241,1888,061500
"Census Tract 629, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:062900",446,3818,062900
"Census Tract 2107, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:210700",959,4392,210700
"Census Tract 2211, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:221100",1237,5207,221100
"Census Tract 2212, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:221200",423,2917,221200
"Census Tract 630, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:063000",462,3448,063000
"Census Tract 712, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:071200",532,2024,071200
"Census Tract 815, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:081500",1577,4585,081500
"Census Tract 903, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:090300",453,1378,090300
"Census Tract 1303, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:130300",1504,5482,130300
"Census Tract 1006, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:100600",1825,4789,100600
"Census Tract 1104, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:110400",1676,4467,110400
"Census Tract 1202, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:120200",1844,4725,120200
"Census Tract 6910, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:691000",1073,2550,691000
"Census Tract 7104, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:710400",1921,5514,710400
"Census Tract 7404, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:740400",1544,4552,740400
"Census Tract 7708, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:770800",2022,5464,770800
"Census Tract 8008, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:800800",1096,2278,800800
"Census Tract 810, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:081000",2462,7439,081000
"Census Tract 304, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030400",860,2582,030400
"Census Tract 8636.01, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863601",1489,3637,863601
"Census Tract 8642.06, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864206",1571,3773,864206
"Census Tract 8646.02, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864602",1809,3849,864602
"Census Tract 8644.08, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864408",2132,6023,864408
"Census Tract 8644.12, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:864412",1695,4189,864412
"Census Tract 8620, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:862000",1253,5540,862000
"Census Tract 9617.01, LaSalle County, Illinois: Summary level: 140, state:17> county:099> tract:961701",2573,6122,961701
"Census Tract 9617.02, LaSalle County, Illinois: Summary level: 140, state:17> county:099> tract:961702",1375,3044,961702
"Census Tract 8810, Lawrence County, Illinois: Summary level: 140, state:17> county:101> tract:881000",806,2216,881000
"Census Tract 8811, Lawrence County, Illinois: Summary level: 140, state:17> county:101> tract:881100",1316,2737,881100
"Census Tract 8703.01, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870301",1504,4487,870301
"Census Tract 8703.02, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870302",1077,4393,870302
"Census Tract 8711.05, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871105",2224,5165,871105
"Census Tract 8711.06, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871106",2527,8900,871106
"Census Tract 8711.07, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871107",1735,5272,871107
"Census Tract 8711.08, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871108",1497,5605,871108
"Census Tract 8711.09, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871109",1135,5088,871109
"Census Tract 8712.07, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871207",1616,4848,871207
"Census Tract 8712.08, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871208",1373,3626,871208
"Census Tract 8712.09, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871209",1073,3591,871209
"Census Tract 9004.02, Clinton County, Illinois: Summary level: 140, state:17> county:027> tract:900402",2196,5169,900402
"Census Tract 8713.10, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871310",1874,4552,871310
"Census Tract 8713.11, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871311",1223,4266,871311
"Census Tract 8715, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871500",6855,13559,871500
"Census Tract 8716, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871600",2078,5085,871600
"Census Tract 11.05, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001105",1213,5156,001105
"Census Tract 11.06, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001106",671,3356,001106
"Census Tract 14.03, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001403",1283,3920,001403
"Census Tract 14.04, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001404",1242,4368,001404
"Census Tract 51.01, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005101",2846,9360,005101
"Census Tract 51.02, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005102",2590,6903,005102
"Census Tract 58, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005800",1542,3996,005800
"Census Tract 59, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005900",1345,4248,005900
"Census Tract 60, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:006000",1571,4002,006000
"Census Tract 31, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:003100",434,2169,003100
"Census Tract 4019.03, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401903",1594,4425,401903
"Census Tract 4019.04, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401904",363,708,401904
"Census Tract 4035.33, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403533",4074,10270,403533
"Census Tract 4035.34, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403534",2044,4133,403534
"Census Tract 4801, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:480100",1057,2192,480100
"Census Tract 4911, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:491100",2018,4160,491100
"Census Tract 4913, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:491300",859,2605,491300
"Census Tract 5101, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:510100",957,3077,510100
"Census Tract 5201, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:520100",488,1810,520100
"Census Tract 5301, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:530100",720,2236,530100
"Census Tract 5302, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:530200",1311,3920,530200
"Census Tract 5601, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:560100",598,1539,560100
"Census Tract 5801, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:580100",809,2758,580100
"Census Tract 5806, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:580600",1062,5174,580600
"Census Tract 5905, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:590500",643,1842,590500
"Census Tract 6004, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:600400",1674,4413,600400
"Census Tract 8901.02, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890102",4323,14692,890102
"Census Tract 8903.01, Kendall County, Illinois: Summary level: 140, state:17> county:093> tract:890301",2194,6285,890301
"Census Tract 8611.07, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861107",1104,4003,861107
"Census Tract 8611.08, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861108",1958,5809,861108
"Census Tract 8616.09, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861609",1436,4750,861609
"Census Tract 8616.11, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861611",1650,4429,861611
"Census Tract 8616.10, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:861610",1362,3426,861610
"Census Tract 8630.03, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863003",23,9098,863003
"Census Tract 8630.04, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863004",439,4468,863004
"Census Tract 8630.05, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863005",0,440,863005
"Census Tract 8630.06, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:863006",0,0,863006
"Census Tract 8660, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:866000",2650,6780,866000
"Census Tract 8661, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:866100",824,3536,866100
"Census Tract 8662, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:866200",3028,5820,866200
"Census Tract 9900, Lake County, Illinois: Summary level: 140, state:17> county:097> tract:990000",0,0,990000
"Census Tract 8807, Lawrence County, Illinois: Summary level: 140, state:17> county:101> tract:880700",1166,2940,880700
"Census Tract 8808, Lawrence County, Illinois: Summary level: 140, state:17> county:101> tract:880800",1648,5381,880800
"Census Tract 8809, Lawrence County, Illinois: Summary level: 140, state:17> county:101> tract:880900",1104,2915,880900
"Census Tract 5019, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501900",1300,3359,501900
"Census Tract 5024.04, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502404",1016,3267,502404
"Census Tract 5028, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502800",700,2979,502800
"Census Tract 5012, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501200",1128,2619,501200
"Census Tract 5016.03, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:501603",1860,5636,501603
"Census Tract 5029, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:502900",901,1801,502900
"Census Tract 5005, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:500500",593,2747,500500
"Census Tract 5009, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:500900",1385,4153,500900
