,reportDate,ZCTA5CE10,cases,total_tested,pop
799,2021-07-14T00:00:00,61910,823,7679,4477
800,2021-07-14T00:00:00,61911,443,3978,5330
801,2021-07-14T00:00:00,61912,118,1432,1176
802,2021-07-14T00:00:00,61913,159,2384,1410
803,2021-07-14T00:00:00,61914,196,2543,1817
804,2021-07-14T00:00:00,61917,76,629,632
805,2021-07-14T00:00:00,61919,94,1515,906
806,2021-07-14T00:00:00,61920,2547,44171,23839
807,2021-07-14T00:00:00,61924,246,4041,2299
808,2021-07-14T00:00:00,61925,100,1197,776
809,2021-07-14T00:00:00,61928,92,895,596
810,2021-07-14T00:00:00,61929,56,982,679
811,2021-07-14T00:00:00,61930,64,530,859
812,2021-07-14T00:00:00,61931,128,1518,1190
813,2021-07-14T00:00:00,61932,30,491,442
814,2021-07-14T00:00:00,61933,82,858,872
815,2021-07-14T00:00:00,61936,23,349,297
816,2021-07-14T00:00:00,61937,176,2612,1967
817,2021-07-14T00:00:00,61938,2600,39203,21727
818,2021-07-14T00:00:00,61940,23,173,253
819,2021-07-14T00:00:00,61942,112,2310,898
820,2021-07-14T00:00:00,61943,190,1512,1630
821,2021-07-14T00:00:00,61944,1242,9642,12311
822,2021-07-14T00:00:00,61951,955,18795,7817
823,2021-07-14T00:00:00,61953,787,14832,6019
824,2021-07-14T00:00:00,61955,20,117,189
825,2021-07-14T00:00:00,61956,376,5563,2749
826,2021-07-14T00:00:00,61957,196,2357,1789
827,2021-07-14T00:00:00,62001,220,4577,1669
828,2021-07-14T00:00:00,62002,3691,43002,31087
829,2021-07-14T00:00:00,62006,70,772,442
830,2021-07-14T00:00:00,62009,155,2898,1720
831,2021-07-14T00:00:00,62010,1380,14151,11409
832,2021-07-14T00:00:00,62011,31,465,224
833,2021-07-14T00:00:00,62012,795,7182,6510
834,2021-07-14T00:00:00,62013,58,503,619
835,2021-07-14T00:00:00,62014,367,3880,4063
836,2021-07-14T00:00:00,62015,65,573,690
837,2021-07-14T00:00:00,62016,442,3677,3572
838,2021-07-14T00:00:00,62017,116,1514,927
839,2021-07-14T00:00:00,62018,333,3541,3017
840,2021-07-14T00:00:00,62019,40,619,298
841,2021-07-14T00:00:00,62021,89,802,1207
842,2021-07-14T00:00:00,62022,131,1157,1103
843,2021-07-14T00:00:00,62024,962,10263,9799
844,2021-07-14T00:00:00,62025,3859,44687,34960
845,2021-07-14T00:00:00,62027,46,434,589
846,2021-07-14T00:00:00,62028,43,660,1119
847,2021-07-14T00:00:00,62031,100,840,800
848,2021-07-14T00:00:00,62032,102,1168,749
849,2021-07-14T00:00:00,62033,565,10771,4539
850,2021-07-14T00:00:00,62034,1531,19814,13487
851,2021-07-14T00:00:00,62035,2125,23124,16080
852,2021-07-14T00:00:00,62036,77,604,706
853,2021-07-14T00:00:00,62037,202,3529,1990
854,2021-07-14T00:00:00,62040,4743,39105,42149
855,2021-07-14T00:00:00,62044,186,1963,2262
856,2021-07-14T00:00:00,62045,30,624,533
857,2021-07-14T00:00:00,62046,117,891,709
858,2021-07-14T00:00:00,62047,183,2757,1691
859,2021-07-14T00:00:00,62048,138,1304,1965
860,2021-07-14T00:00:00,62049,1667,45979,8513
861,2021-07-14T00:00:00,62050,33,439,376
862,2021-07-14T00:00:00,62051,98,1308,687
863,2021-07-14T00:00:00,62052,1725,24061,12418
864,2021-07-14T00:00:00,62053,67,816,550
865,2021-07-14T00:00:00,62054,95,760,606
866,2021-07-14T00:00:00,62056,883,19302,8507
867,2021-07-14T00:00:00,62058,76,920,704
868,2021-07-14T00:00:00,62059,43,659,411
869,2021-07-14T00:00:00,62060,438,4130,4135
870,2021-07-14T00:00:00,62061,217,1825,1631
871,2021-07-14T00:00:00,62062,1000,18543,8078
872,2021-07-14T00:00:00,62063,130,1234,991
873,2021-07-14T00:00:00,62067,322,2428,2202
874,2021-07-14T00:00:00,62069,328,4794,3184
875,2021-07-14T00:00:00,62074,107,1317,1068
876,2021-07-14T00:00:00,62075,361,4791,3595
877,2021-07-14T00:00:00,62076,9,119,122
878,2021-07-14T00:00:00,62077,33,456,288
879,2021-07-14T00:00:00,62079,46,262,323
880,2021-07-14T00:00:00,62080,286,3758,2355
881,2021-07-14T00:00:00,62081,17,343,318
882,2021-07-14T00:00:00,62082,284,3144,2742
883,2021-07-14T00:00:00,62083,26,224,167
884,2021-07-14T00:00:00,62084,172,1572,1511
885,2021-07-14T00:00:00,62085,16,356,162
886,2021-07-14T00:00:00,62086,144,1634,1224
887,2021-07-14T00:00:00,62087,188,1803,2073
888,2021-07-14T00:00:00,62088,760,11666,6647
889,2021-07-14T00:00:00,62089,40,742,439
890,2021-07-14T00:00:00,62090,103,988,1417
891,2021-07-14T00:00:00,62091,44,446,399
892,2021-07-14T00:00:00,62092,400,4353,2894
893,2021-07-14T00:00:00,62093,44,698,434
894,2021-07-14T00:00:00,62094,93,1537,1104
895,2021-07-14T00:00:00,62095,1307,17127,10471
896,2021-07-14T00:00:00,62097,307,3052,2893
897,2021-07-14T00:00:00,62201,642,6253,6853
898,2021-07-14T00:00:00,62203,720,13838,8366
899,2021-07-14T00:00:00,62204,465,5842,8133
900,2021-07-14T00:00:00,62205,742,8935,7781
901,2021-07-14T00:00:00,62206,1552,20183,15046
902,2021-07-14T00:00:00,62207,708,7744,9090
903,2021-07-14T00:00:00,62208,1839,20753,16544
904,2021-07-14T00:00:00,62214,135,1154,1332
905,2021-07-14T00:00:00,62215,271,2371,2103
906,2021-07-14T00:00:00,62216,586,6187,2736
907,2021-07-14T00:00:00,62217,93,893,773
908,2021-07-14T00:00:00,62218,273,2083,1713
909,2021-07-14T00:00:00,62219,141,1256,1170
910,2021-07-14T00:00:00,62220,2301,25034,17722
911,2021-07-14T00:00:00,62221,3055,33323,30301
912,2021-07-14T00:00:00,62223,1968,24324,16004
913,2021-07-14T00:00:00,62225,167,2525,5209
914,2021-07-14T00:00:00,62226,3532,47056,28914
915,2021-07-14T00:00:00,62230,1200,12141,6308
916,2021-07-14T00:00:00,62231,1062,11905,7313
917,2021-07-14T00:00:00,62232,967,13816,6828
918,2021-07-14T00:00:00,62233,1091,19808,9521
919,2021-07-14T00:00:00,62234,3743,34918,32474
920,2021-07-14T00:00:00,62236,1700,13416,14067
921,2021-07-14T00:00:00,62237,338,7841,2398
922,2021-07-14T00:00:00,62238,67,793,632
923,2021-07-14T00:00:00,62239,524,4237,4595
924,2021-07-14T00:00:00,62240,179,1290,1507
925,2021-07-14T00:00:00,62241,128,2240,878
926,2021-07-14T00:00:00,62242,150,2075,1365
927,2021-07-14T00:00:00,62243,814,11091,5757
928,2021-07-14T00:00:00,62244,116,760,1006
929,2021-07-14T00:00:00,62245,276,2495,1795
930,2021-07-14T00:00:00,62246,1302,30648,9964
931,2021-07-14T00:00:00,62248,56,529,396
932,2021-07-14T00:00:00,62249,2235,24879,15574
933,2021-07-14T00:00:00,62250,52,667,468
934,2021-07-14T00:00:00,62253,57,939,544
935,2021-07-14T00:00:00,62254,841,12510,6189
936,2021-07-14T00:00:00,62255,89,866,1332
937,2021-07-14T00:00:00,62257,366,3572,2416
938,2021-07-14T00:00:00,62258,1138,14629,9491
939,2021-07-14T00:00:00,62260,860,7102,7537
940,2021-07-14T00:00:00,62261,29,199,52
941,2021-07-14T00:00:00,62262,228,2132,1619
942,2021-07-14T00:00:00,62263,702,5593,4912
943,2021-07-14T00:00:00,62264,380,4078,3754
944,2021-07-14T00:00:00,62265,552,9255,4072
